Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
SMIRNOV Alexander - PIEKAREK Josef;240;0,95;0,24;0,71;0,60;102;  0,80;137;0,16;47;0,97;55;0,65;72;0,03;65;0,44;137;
BROGELAND Boye - LINDQVIST Espen;224;0,92;0,58;0,34;0,34;109;  0,34;115;0,00;51;0,63;58;0,43;56;-0,22;59;0,25;115;
FANTONI Fulvio - NUNES Claudio;240;0,83;0,14;0,69;0,74;127;  0,64;112;0,61;70;0,91;57;0,23;44;-0,01;68;0,56;112;
SEMENTA Antonio - DUBOIN Giorgio;208;0,72;0,37;0,35;0,38;92;  0,33;115;0,42;41;0,35;51;0,01;50;0,40;65;0,09;115;
KHIUPPENEN Yury - KHOLOMEEV Vadim;240;0,68;0,43;0,25;0,05;113;  0,43;127;0,09;54;0,02;59;-0,22;59;0,27;68;0,39;127;
TRENDAFILOV Roumen - KARAIVANOV Kalin;224;0,64;0,33;0,31;-0,15;108;  0,75;115;0,22;71;-0,85;37;-0,33;56;0,46;59;0,68;115;
TUNDAL Ulf Haakon - GROETHEIM Glenn;224;0,64;0,27;0,37;0,63;119;  0,06;105;1,20;64;-0,02;55;-0,06;62;-0,25;43;0,20;105;
WLADOW Entscho - ELINESCU Michael;240;0,64;0,21;0,43;0,26;136;  0,66;103;0,12;81;0,46;55;0,06;57;0,34;46;0,47;103;
YANG Lixin - DAI Jianming;224;0,62;0,37;0,25;0,66;112;  -0,16;112;0,70;51;0,62;61;0,02;59;-0,21;53;-0,07;112;
BIANCHEDI Alejandro - MUZZIO Ernesto;240;0,59;0,24;0,35;0,72;114;  0,01;126;0,57;34;0,78;80;-0,24;92;0,70;34;-0,01;126;
WANG Weimin - ZHUANG Zejun;224;0,56;0,21;0,35;-0,01;111;  0,71;113;-0,06;50;0,02;61;-0,05;60;0,03;53;0,72;113;
KHOKHLOV Alexander - MATUSHKO Georgi;192;0,55;0,34;0,21;0,31;85;  0,14;107;0,43;55;0,10;30;0,21;52;0,10;55;-0,02;107;
HAMMAN Bob - MAHMOOD Zia;272;0,53;0,32;0,21;0,42;141;  -0,02;130;0,48;78;0,34;63;0,05;54;0,05;76;-0,07;130;
STEFANOV Julian - ARONOV Victor;224;0,52;0,60;-0,08;-0,15;106;  -0,02;118;-0,41;50;0,09;56;0,05;61;-0,26;57;0,09;118;
DANAILOV Diyan - KARAKOLEV Georgi;224;0,47;0,44;0,03;0,34;134;  -0,43;88;0,28;62;0,39;72;0,23;49;-0,35;39;-0,41;88;
DE WIJS Simon - MULLER Bauke;240;0,47;0,21;0,26;-0,03;111;  0,52;127;0,01;55;-0,06;56;-0,02;55;0,66;72;0,15;127;
BOYD Peter - ROBINSON Steve;224;0,43;0,37;0,06;-0,05;104;  0,15;119;0,34;55;-0,48;49;-0,24;68;0,18;51;0,22;119;
BAKKEREN Ton - BERTENS Huub;176;0,41;0,10;0,31;0,42;84;  0,21;92;0,03;38;0,74;46;-0,06;44;0,04;48;0,22;92;
CHEN Dawei - FURUTA Kazuo;240;0,40;0,48;-0,08;-0,19;91;  -0,01;146;0,36;40;-0,62;51;0,02;77;-0,36;69;0,15;146;
BRINK Sjoert - DRIJVER Bas;256;0,40;0,31;0,10;0,48;124;  -0,27;132;0,23;67;0,78;57;0,00;80;0,01;52;-0,27;132;
SHEN Chih-Kuo - SHIH Juei-Yu;320;0,37;0,09;0,28;0,10;156;  0,46;164;-0,23;104;0,75;52;0,17;82;-0,01;82;0,38;164;
AUSTBERG Per Erik - SAELENSMINDE Erik;224;0,37;0,22;0,14;-0,03;114;  0,33;107;0,22;52;-0,24;62;0,18;59;0,30;48;0,09;107;
MECKSTROTH Jeff - RODWELL Eric;256;0,33;0,17;0,16;0,14;131;  0,17;125;0,23;77;0,03;54;0,24;62;0,20;63;-0,05;125;
CAMBOURNAC Guy - HAYET Jean;224;0,33;0,28;0,05;0,16;119;  -0,08;103;0,24;52;0,09;67;0,05;59;0,03;44;-0,12;103;
KATZ Ralph - NICKELL Nick;144;0,31;0,17;0,14;0,21;77;  0,07;67;0,20;39;0,21;38;-0,07;31;-0,26;36;0,24;67;
PELLEGRINI Carlos - RAVENNA Pablo;224;0,30;0,17;0,14;0,42;109;  -0,13;114;0,71;62;0,05;47;-0,43;57;-0,18;57;0,17;114;
IMAKURA Tadashi - INO Masayuki;208;0,29;-0,12;0,41;0,68;117;  0,07;91;0,62;64;0,75;53;-0,02;49;0,11;42;0,03;91;
TAKAYAMA Masaaki - TERAMOTO Tadashi;224;0,18;0,13;0,05;0,00;109;  0,09;115;-0,32;46;0,24;63;0,29;47;0,06;68;-0,06;115;
CORNELL Michael - BACH Ashley;256;0,17;0,47;-0,29;-0,23;138;  -0,38;117;-0,34;63;-0,14;75;0,34;61;-0,29;56;-0,42;117;
DUBININ Alexander - GROMOV Andrey;240;0,13;0,28;-0,15;0,09;143;  -0,50;97;-0,01;70;0,18;73;-0,12;46;-0,44;51;-0,21;97;
DE LIVERA Arjuna Percival - ROBINSON Ian;224;0,12;-0,28;0,40;0,53;101;  0,29;122;0,38;57;0,73;44;0,17;63;0,18;59;0,11;122;
VERSACE Alfredo - LAURIA Lorenzo;224;0,08;0,06;0,02;-0,21;127;  0,32;95;-0,09;50;-0,28;77;0,29;47;-0,02;48;0,18;95;
STEWART Fred - WOOLSEY Kit;224;0,05;0,16;-0,11;0,04;116;  -0,26;108;0,16;69;-0,14;47;0,19;38;-0,04;70;-0,30;108;
VENTIN Juan Carlos - LAMBARDI Pablo;208;0,05;0,14;-0,09;-0,05;101;  -0,13;106;-0,11;50;0,01;51;0,09;45;-0,20;61;-0,05;106;
GROMOELLER Michael - KIRMSE Andreas;192;0,05;-0,07;0,12;0,12;80;  0,11;112;0,23;42;0,01;38;0,37;53;-0,03;59;-0,05;112;
GONG Fang-Wen - HU Sheau-Fong;304;0,03;0,26;-0,24;-0,21;150;  -0,26;153;0,19;80;-0,67;70;-0,26;69;0,03;84;-0,16;153;
VENKATARAMAN Kadayam Raman - CHOKSHI Sunit;208;-0,04;-0,03;-0,01;-0,18;102;  0,17;105;0,04;41;-0,33;61;-0,03;50;0,22;55;0,07;105;
ZHAO Jie - FU Zhong;224;-0,04;-0,39;0,35;0,55;111;  0,16;113;0,61;54;0,49;57;0,31;61;0,39;52;-0,19;113;
YOUSRY Ahmed - NOSHY Sherif;224;-0,04;-0,37;0,32;0,28;101;  0,37;122;0,29;47;0,27;54;0,21;57;-0,08;65;0,31;122;
CARACCI Marcelo - ROBLES Jose Manuel;320;-0,04;-0,05;0,01;-0,35;164;  0,40;153;-0,16;79;-0,52;85;-0,03;74;0,11;79;0,36;153;
KOURDY Adel El - NABIL Karim;224;-0,05;0,14;-0,19;0,04;107;  -0,41;115;0,15;59;-0,09;48;0,05;53;-0,56;62;-0,13;115;
STOUT Graeme - MILLER Jeff;160;-0,06;0,02;-0,07;0,47;90;  -0,80;68;0,25;55;0,82;35;0,12;35;-0,81;33;-0,47;68;
CASTELLO BRANCO Marcelo - CHAGAS Gabriel;272;-0,08;0,12;-0,19;0,09;136;  -0,49;133;-0,11;71;0,32;65;-0,57;73;-0,39;60;-0,00;133;
PACAREU Joaquin - ROBLES Benjamin;336;-0,12;-0,09;-0,03;0,05;158;  -0,10;177;0,40;87;-0,39;71;-0,15;88;0,15;89;-0,10;177;
DALAL Rajesh - GUPTA Subhash;176;-0,13;0,07;-0,19;-0,47;88;  0,08;86;-0,08;37;-0,75;51;0,25;39;0,50;47;-0,30;86;
VILLAS-BOAS Miguel - CAMPOS Joao-Paulo;224;-0,16;-0,11;-0,05;-0,58;124;  0,60;100;-1,29;68;0,29;56;0,03;44;0,04;56;0,56;100;
