                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No. Butler |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
FANTONI Fulvio - NUNES Claudio                         |  224   0.88 |  0.56   0.32 |  0.48 ( 96)   0.20 (125) |  0.12 ( 47)   0.82 ( 49) |  0.33 ( 70)  -0.29 ( 55)   0.14 (125) |
WEINSTEIN Howard - GARNER Steve                        |  272   0.67 |  0.47   0.21 |  0.47 (137)  -0.06 (135) |  0.43 ( 75)   0.52 ( 62) | -0.04 ( 70)  -0.11 ( 65)   0.01 (135) |
MECKSTROTH Jeff - RODWELL Eric                         |  288   0.54 |  0.36   0.18 |  0.13 (168)   0.25 (118) |  0.82 ( 87)  -0.61 ( 81) |  0.18 ( 57)   0.01 ( 61)   0.16 (118) |
UPMARK Johan - CULLIN Per-Ola                          |  208   0.45 |  0.40   0.05 | -0.17 (110)   0.29 ( 97) | -0.37 ( 68)   0.16 ( 42) | -0.02 ( 52)  -0.04 ( 45)   0.31 ( 97) |
BRINK Sjoert - DRIJVER Bas                             |  256   0.44 |  0.10   0.34 |  0.28 (126)   0.41 (129) | -0.07 ( 72)   0.74 ( 54) |  0.02 ( 65)  -0.09 ( 64)   0.44 (129) |
JACOBS George - KATZ Ralph                             |  128   0.43 |  0.22   0.21 | -0.25 ( 60)   0.63 ( 67) | -0.71 ( 37)   0.49 ( 23) |  0.30 ( 32)  -0.03 ( 35)   0.50 ( 67) |
BOSENBERG Christopher Henry - EBER Neville             |  240   0.43 |  0.55  -0.12 | -0.28 (115)   0.02 (123) |  0.06 ( 59)  -0.63 ( 56) | -0.21 ( 64)  -0.08 ( 59)   0.17 (123) |
GUMBY Pauline - LAZER Warren                           |  224   0.42 |  0.25   0.18 |  0.43 ( 97)  -0.02 (125) |  0.13 ( 51)   0.77 ( 46) | -0.14 ( 61)  -0.04 ( 64)   0.07 (125) |
ZHAO Jie - FU Zhong                                    |  224   0.42 |  0.00   0.42 |  0.57 (108)   0.27 (116) |  0.08 ( 49)   0.97 ( 59) |  0.06 ( 70)   0.00 ( 46)   0.24 (116) |
VILLAS-BOAS Miguel - CHAGAS Gabriel                    |  336   0.39 |  0.40  -0.01 | -0.08 (169)   0.06 (166) |  0.16 ( 89)  -0.36 ( 80) | -0.02 ( 88)   0.15 ( 78)  -0.01 (166) |
HELGEMO Geir - HELNESS Tor                             |  240   0.37 |  0.20   0.17 |  0.22 (123)   0.11 (117) |  0.25 ( 68)   0.17 ( 55) |  0.25 ( 62)   0.20 ( 55)  -0.11 (117) |
COPE Tim - HOLMAN Glen                                 |  240   0.32 |  0.09   0.23 |  0.31 (111)   0.17 (128) |  0.15 ( 52)   0.44 ( 59) | -0.15 ( 66)  -0.12 ( 62)   0.31 (128) |
SKRZYPCZAK Jerzy - GIERULSKI Boguslaw                  |  208   0.28 |  0.37  -0.10 | -0.19 (105)   0.00 (100) | -0.12 ( 44)  -0.24 ( 61) | -0.20 ( 54)  -0.33 ( 46)   0.26 (100) |
JEDRYCHOWSKI Ryszard - NEILL Bruce                     |  224   0.25 |  0.14   0.11 |  0.22 (114)  -0.01 (110) | -0.03 ( 62)   0.53 ( 52) |  0.16 ( 66)  -0.07 ( 44)  -0.08 (110) |
BAKKEREN Ton - BERTENS Huub                            |  208   0.25 |  0.21   0.03 |  0.31 (108)  -0.27 ( 99) |  0.40 ( 42)   0.25 ( 66) | -0.11 ( 52)   0.12 ( 47)  -0.26 ( 99) |
TUNDAL Ulf Haakon - GROETHEIM Glenn                    |  224   0.24 |  0.47  -0.23 |  0.14 (130)  -0.77 ( 93) |  0.29 ( 63)   0.01 ( 67) |  0.46 ( 39)  -0.63 ( 54)  -0.59 ( 93) |
VERSACE Alfredo - LAURIA Lorenzo                       |  224   0.22 | -0.06   0.28 |  0.15 (123)   0.45 (101) |  0.31 ( 56)   0.02 ( 67) | -0.14 ( 65)   0.38 ( 36)   0.40 (101) |
AHMED Javed - MASOOD Tahir                             |  208   0.17 |  0.01   0.16 | -0.02 (109)   0.37 ( 98) | -0.00 ( 54)  -0.04 ( 55) |  0.17 ( 39)   0.01 ( 59)   0.30 ( 98) |
FREEMAN Richard (Dick) - NICKELL Nick                  |  208   0.16 |  0.09   0.07 |  0.40 ( 94)  -0.21 (113) |  0.27 ( 48)   0.54 ( 46) |  0.36 ( 64)  -0.13 ( 49)  -0.36 (113) |
SHI Haojun - ZHUANG Zejun                              |  240   0.16 |  0.18  -0.02 |  0.08 (113)  -0.11 (126) |  0.30 ( 42)  -0.06 ( 71) | -0.24 ( 72)   0.02 ( 54)   0.02 (126) |
EFRAIMSSON Bengt-Erik - MORATH Anders                  |  208   0.15 |  0.01   0.14 |  0.45 ( 90)  -0.09 (118) |  0.05 ( 48)   0.91 ( 42) | -0.21 ( 51)   0.22 ( 67)  -0.13 (118) |
BOCCHI Norberto - DUBOIN Giorgio                       |  224   0.15 | -0.17   0.32 |  0.01 (119)   0.67 (105) | -0.25 ( 58)   0.26 ( 61) | -0.08 ( 57)  -0.02 ( 48)   0.73 (105) |
WATULINGAS Giovanni - ONG King Hin                     |  176   0.14 |  0.16  -0.03 |  0.37 ( 89)  -0.44 ( 86) |  0.49 ( 43)   0.26 ( 46) | -0.62 ( 44)  -0.13 ( 42)  -0.06 ( 86) |
IMAKURA Tadashi - INO Masayuki                         |  240   0.11 | -0.06   0.17 |  0.29 (121)   0.06 (118) |  0.66 ( 62)  -0.11 ( 59) |  0.40 ( 57)   0.01 ( 61)  -0.13 (118) |
MAHMOOD Zia - ROSENBERG Michael                        |  272   0.10 |  0.11  -0.00 | -0.04 (159)   0.06 (111) |  0.17 ( 72)  -0.22 ( 87) | -0.29 ( 53)   0.30 ( 58)   0.04 (111) |
TOBING Robert Parasian - ASBI Taufik Gautama           |  288   0.10 | -0.33   0.43 |  0.43 (124)   0.43 (162) | -0.06 ( 61)   0.91 ( 63) | -0.08 ( 78)   0.49 ( 84)   0.21 (162) |
SAELENSMINDE Erik - BROGELAND Boye                     |  208   0.07 | -0.09   0.16 | -0.08 ( 92)   0.35 (115) | -0.64 ( 51)   0.62 ( 41) |  0.14 ( 53)   0.50 ( 62)   0.02 (115) |
PELLEGRINI Carlos - RAVENNA Pablo                      |  336   0.07 | -0.01   0.07 |  0.57 (154)  -0.35 (179) |  0.58 ( 80)   0.57 ( 74) | -0.09 ( 95)  -0.29 ( 84)  -0.17 (179) |
HISHMAT Mohamed - NADIM Tarek                          |  192   0.07 |  0.01   0.06 |  0.30 (100)  -0.21 ( 92) |  0.06 ( 43)   0.48 ( 57) |  0.02 ( 53)  -0.28 ( 39)  -0.11 ( 92) |
DE WIJS Simon - MULLER Bauke                           |  208   0.07 | -0.12   0.19 |  0.16 (102)   0.22 (104) |  0.21 ( 51)   0.11 ( 51) |  0.20 ( 42)   0.03 ( 62)   0.12 (104) |
SHIH Juei-Yu - YANG Hsin-Lung                          |  144   0.06 |  0.06   0.00 |  0.08 ( 67)  -0.06 ( 77) |  0.34 ( 35)  -0.22 ( 32) | -0.46 ( 36)  -0.00 ( 41)   0.16 ( 77) |
FITZGIBBON Nicholas - MESBUR Adam                      |  224   0.04 |  0.12  -0.08 |  0.34 (115)  -0.53 (108) | -0.19 ( 60)   0.93 ( 55) | -0.18 ( 37)   0.04 ( 71)  -0.49 (108) |
TAKAYAMA Masaaki - TERAMOTO Tadashi                    |  192   0.01 | -0.04   0.05 |  0.35 ( 88)  -0.20 (104) |  0.08 ( 39)   0.56 ( 49) | -0.47 ( 50)   0.13 ( 54)  -0.04 (104) |
CHEN Dawei - FURUTA Kazuo                              |  240   0.00 |  0.00  -0.00 |  0.57 (121)  -0.58 (119) |  0.71 ( 62)   0.43 ( 59) |  0.15 ( 61)  -0.01 ( 58)  -0.65 (119) |
BOJOH Jemmy - GEORGE Julius Anthonius                  |  192  -0.01 | -0.35   0.34 |  0.25 (107)   0.45 ( 85) |  0.37 ( 64)   0.07 ( 43) |  0.23 ( 42)  -0.07 ( 43)   0.37 ( 85) |
GREEN Murray - PEAKE Andrew                            |  224  -0.02 |  0.24  -0.26 | -0.53 (116)   0.02 (108) | -0.80 ( 50)  -0.32 ( 66) | -0.25 ( 50)   0.06 ( 58)   0.10 (108) |
CARROLL John - GARVEY Tommy                            |  208  -0.02 |  0.03  -0.05 | -0.12 ( 95)   0.00 (113) | -0.48 ( 42)   0.17 ( 53) |  0.05 ( 53)   0.24 ( 60)  -0.14 (113) |
ACKERLEY David - SMITH Scott                           |  240  -0.04 | -0.04  -0.00 |  0.01 (128)  -0.01 (110) | -0.22 ( 54)   0.18 ( 74) | -0.21 ( 58)  -0.06 ( 52)   0.13 (110) |
JAFER Rashid - KHAN Sarfaraz Ahmed                     |  224  -0.05 |  0.15  -0.20 | -0.51 (112)   0.11 (111) | -0.47 ( 57)  -0.55 ( 55) |  0.14 ( 53)   0.12 ( 58)  -0.01 (111) |
