Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
SILVER Joseph - CARRUTHERS John;320;0,00;0,05;-0,05;0,14;156;  -0,23;162;-0,16;70;0,38;86;-0,01;90;0,24;72;-0,33;162;
ZLOTOV Dmitri - KHOLOMEEV Vadim;280;-0,00;-0,06;0,06;0,01;126;  0,10;154;0,39;67;-0,43;59;0,11;79;-0,02;75;0,05;154;
DE WIJS Simon - MULLER Bauke;300;-0,01;-0,03;0,02;0,06;156;  -0,02;141;-0,18;73;0,27;83;-0,15;72;-0,04;69;0,08;141;
DAGHER Hani - KOURDY Adel El;280;-0,01;-0,10;0,09;-0,03;148;  0,23;131;-0,31;67;0,20;81;0,03;63;0,47;68;-0,03;131;
MONSEGUR Martin Sila - MOONEY Guillermo;260;-0,02;0,02;-0,03;-0,32;118;  0,21;139;0,31;44;-0,70;74;0,11;112;0,63;27;-0,00;139;
ZHAO Jie - FU Zhong;300;-0,02;-0,06;0,04;0,35;139;  -0,22;161;0,03;66;0,64;73;-0,02;70;-0,04;91;-0,19;161;
LAMBARDI Pablo - MADALA Agustin;280;-0,05;-0,21;0,16;0,18;126;  0,15;154;0,40;76;-0,15;50;0,18;65;0,04;89;0,05;154;
GITELMAN Fred - MOSS Brad;340;-0,08;-0,21;0,13;0,08;176;  0,18;162;0,48;68;-0,17;108;0,48;60;-0,01;102;0,02;162;
LUIS Carlos - PAZ Nuno;280;-0,17;-0,08;-0,09;0,16;157;  -0,42;120;-0,21;70;0,45;87;-0,11;55;0,14;65;-0,45;120;
THOMSON Matthew - MARSTON Paul;300;-0,17;-0,14;-0,03;0,06;142;  -0,12;157;-0,52;62;0,50;80;-0,02;86;0,19;71;-0,19;157;
KRUPOWICZ Marcin - LUTOSTANSKI Piotr;300;-0,18;-0,00;-0,18;0,12;139;  -0,44;158;0,24;74;-0,01;65;-0,27;77;-0,16;81;-0,23;158;
SHI Haojun - ZHUANG Zejun;280;-0,19;-0,16;-0,03;-0,07;140;  0,01;138;-0,08;66;-0,06;74;0,29;65;0,11;73;-0,18;138;
BARAN Boris - GRAVES Allan;240;-0,22;-0,31;0,09;0,08;109;  0,10;131;0,18;56;-0,03;53;-0,15;87;0,14;44;0,15;131;
SHEN Chih-Kuo - YEH Chen;140;-0,24;-0,30;0,07;0,21;71;  -0,08;69;0,62;28;-0,06;43;-0,23;48;0,07;21;0,06;69;
SHIH Juei-Yu - HUANG Patrick K, H,;320;-0,29;-0,26;-0,04;-0,02;167;  -0,06;151;-0,01;76;-0,02;91;-0,01;53;-0,17;98;0,05;151;
