                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No.   IMPs |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
HACKETT Jason - HACKETT Justin                         |  340   0.11 |  0.17  -0.06 |  0.07 (175)  -0.20 (164) |  0.06 ( 89)   0.08 ( 86) | -0.02 ( 75)  -0.16 ( 89)  -0.10 (164) |
CHU Wayne - GOWER Craig                                |  300   0.11 |  0.46  -0.36 | -0.39 (138)  -0.33 (158) | -0.51 ( 74)  -0.25 ( 64) | -0.01 ( 80)  -0.10 ( 78)  -0.28 (158) |
SANTOS Rui Silva - PEREIRA Paulo Goncalves             |  280   0.10 |  0.21  -0.12 | -0.06 (140)  -0.18 (140) | -0.07 ( 71)  -0.05 ( 69) | -0.19 ( 77)  -0.19 ( 63)   0.01 (140) |
JACOB Tom - MAYER Malcolm                              |  340   0.10 |  0.08   0.02 |  0.14 (179)  -0.12 (159) | -0.11 ( 82)   0.35 ( 97) | -0.21 ( 77)  -0.02 ( 82)  -0.01 (159) |
CHEN Dawei - FURUTA Kazuo                              |  280   0.09 |  0.07   0.02 |  0.19 (128)  -0.12 (151) |  0.39 ( 59)   0.02 ( 69) | -0.10 ( 71)  -0.08 ( 80)  -0.03 (151) |
FREDIN Peter - LINDKVIST Magnus                        |  300   0.09 |  0.04   0.05 |  0.30 (154)  -0.22 (145) |  0.24 ( 83)   0.38 ( 71) | -0.14 ( 75)  -0.10 ( 70)  -0.10 (145) |
JANZ Ricardo - MELLO Roberto De                        |  260   0.08 |  0.03   0.06 |  0.34 (130)  -0.23 (126) |  0.30 ( 61)   0.37 ( 69) | -0.39 ( 69)  -0.19 ( 57)   0.07 (126) |
MONSEGUR Martin Sila - MOONEY Guillermo                |  260   0.07 |  0.10  -0.02 | -0.23 (118)   0.15 (139) |  0.33 ( 44)  -0.57 ( 74) |  0.09 (112)   0.58 ( 27)  -0.03 (139) |
TEWARI Rajeshwar - GUPTA Subhash                       |  300   0.06 |  0.12  -0.06 |  0.03 (155)  -0.15 (145) | -0.03 ( 90)   0.11 ( 65) | -0.04 ( 71)   0.22 ( 74)  -0.24 (145) |
ZHAO Jie - FU Zhong                                    |  300   0.05 | -0.01   0.06 |  0.34 (139)  -0.18 (161) |  0.05 ( 66)   0.60 ( 73) |  0.00 ( 70)  -0.01 ( 91)  -0.17 (161) |
ZLOTOV Dmitri - KHOLOMEEV Vadim                        |  280   0.03 | -0.04   0.07 |  0.05 (126)   0.08 (154) |  0.37 ( 67)  -0.32 ( 59) |  0.07 ( 79)   0.03 ( 75)   0.03 (154) |
HOBART Arno - MITTELMAN George                         |  280   0.01 |  0.28  -0.27 | -0.34 (146)  -0.19 (131) | -0.62 ( 84)   0.04 ( 62) | -0.12 ( 64)  -0.31 ( 67)   0.03 (131) |
SILVER Joseph - CARRUTHERS John                        |  320  -0.00 |  0.04  -0.05 |  0.13 (156)  -0.21 (162) | -0.15 ( 70)   0.35 ( 86) | -0.01 ( 90)   0.25 ( 72)  -0.32 (162) |
DE WIJS Simon - MULLER Bauke                           |  300  -0.04 | -0.06   0.01 |  0.06 (156)  -0.04 (141) | -0.15 ( 73)   0.25 ( 83) | -0.14 ( 72)  -0.07 ( 69)   0.06 (141) |
DAGHER Hani - KOURDY Adel El                           |  280  -0.05 | -0.11   0.07 | -0.02 (148)   0.17 (131) | -0.29 ( 67)   0.20 ( 81) |  0.02 ( 63)   0.43 ( 68)  -0.07 (131) |
GITELMAN Fred - MOSS Brad                              |  340  -0.06 | -0.14   0.08 |  0.02 (176)   0.15 (162) |  0.37 ( 68)  -0.20 (108) |  0.44 ( 60)  -0.05 (102)   0.02 (162) |
RUBIN Ron - EKEBLAD Russ                               |  160  -0.06 | -0.15   0.09 |  0.41 ( 79)  -0.22 ( 79) |  0.13 ( 45)   0.78 ( 34) | -0.17 ( 43)   0.23 ( 36)  -0.23 ( 79) |
LAMBARDI Pablo - MADALA Agustin                        |  280  -0.06 | -0.18   0.12 |  0.12 (126)   0.11 (154) |  0.37 ( 76)  -0.26 ( 50) |  0.14 ( 65)   0.05 ( 89)   0.03 (154) |
KRUPOWICZ Marcin - LUTOSTANSKI Piotr                   |  300  -0.15 | -0.00  -0.15 |  0.10 (139)  -0.37 (158) |  0.17 ( 74)   0.02 ( 65) | -0.24 ( 77)  -0.15 ( 81)  -0.18 (158) |
SHI Haojun - ZHUANG Zejun                              |  280  -0.17 | -0.15  -0.01 | -0.08 (140)   0.05 (138) | -0.05 ( 66)  -0.11 ( 74) |  0.26 ( 65)   0.12 ( 73)  -0.14 (138) |
LUIS Carlos - PAZ Nuno                                 |  280  -0.19 | -0.07  -0.12 |  0.14 (157)  -0.46 (120) | -0.19 ( 70)   0.40 ( 87) | -0.11 ( 55)   0.13 ( 65)  -0.48 (120) |
BARAN Boris - GRAVES Allan                             |  240  -0.21 | -0.29   0.08 |  0.06 (109)   0.09 (131) |  0.14 ( 56)  -0.02 ( 53) | -0.14 ( 87)   0.11 ( 44)   0.15 (131) |
THOMSON Matthew - MARSTON Paul                         |  300  -0.23 | -0.17  -0.06 |  0.02 (142)  -0.13 (157) | -0.51 ( 62)   0.43 ( 80) | -0.06 ( 86)   0.14 ( 71)  -0.16 (157) |
TERAMOTO Tadashi - MIYAKUNI Kenji                      |  280  -0.24 | -0.19  -0.05 | -0.14 (151)   0.05 (128) | -0.16 ( 65)  -0.13 ( 86) | -0.00 ( 61)  -0.11 ( 67)   0.11 (128) |
