                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No. Butler |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
BOCCHI Norberto - DUBOIN Giorgio                       |  240   1.25 |  0.83   0.43 |  0.34 (127)   0.53 (113) |  0.54 ( 60)   0.15 ( 67) |  0.09 ( 58)   0.19 ( 55)   0.39 (113) |
WESTRA Berry - RAMONDT Vincent                         |  240   0.68 |  0.55   0.13 | -0.12 (123)   0.41 (114) | -0.11 ( 61)  -0.13 ( 62) |  0.21 ( 63)   0.38 ( 51)   0.12 (114) |
BRINK Sjoert - DRIJVER Bas                             |  240   0.62 |  0.48   0.14 |  0.04 (121)   0.24 (117) | -0.20 ( 56)   0.24 ( 65) | -0.03 ( 47)  -0.04 ( 70)   0.28 (117) |
NEIMANIS Janis - RUBINS Karlis                         |  240   0.55 |  0.60  -0.05 | -0.06 (139)  -0.04 (100) |  0.09 ( 66)  -0.20 ( 73) |  0.17 ( 50)   0.15 ( 50)  -0.20 (100) |
BERTENS Huub - BAKKEREN Ton                            |  240   0.52 |  0.31   0.22 |  0.19 (121)   0.24 (119) |  0.07 ( 57)   0.31 ( 64) |  0.12 ( 66)  -0.42 ( 53)   0.36 (119) |
JONSSON Thorlakur - BALDURSSON Jon                     |  220   0.52 |  0.12   0.40 |  0.40 (120)   0.42 ( 98) |  0.36 ( 54)   0.43 ( 66) |  0.40 ( 50)   0.11 ( 48)   0.16 ( 98) |
VOLHEJN Vit - KOPECKY Michal                           |  240   0.45 |  0.34   0.11 | -0.07 (125)   0.30 (115) | -0.66 ( 62)   0.51 ( 63) | -0.06 ( 58)  -0.22 ( 57)   0.44 (115) |
BILDE Morten - HANSEN Jorgen                           |  240   0.43 |  0.40   0.03 | -0.19 (122)   0.26 (117) |  0.17 ( 55)  -0.49 ( 67) |  0.33 ( 57)  -0.04 ( 60)   0.12 (117) |
ASSAEL Salvador - ATABEY Yalcin                        |  260   0.41 |  0.16   0.25 |  0.30 (122)   0.21 (138) | -0.02 ( 60)   0.62 ( 62) | -0.08 ( 65)   0.06 ( 73)   0.21 (138) |
