                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No.   IMPs |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
BOCCHI Norberto - DUBOIN Giorgio                       |  240   1.14 |  0.76   0.39 |  0.31 (127)   0.47 (113) |  0.52 ( 60)   0.12 ( 67) |  0.08 ( 58)   0.18 ( 55)   0.35 (113) |
WESTRA Berry - RAMONDT Vincent                         |  240   0.58 |  0.46   0.12 | -0.09 (123)   0.36 (114) | -0.08 ( 61)  -0.10 ( 62) |  0.19 ( 63)   0.39 ( 51)   0.08 (114) |
NEIMANIS Janis - RUBINS Karlis                         |  240   0.53 |  0.55  -0.03 | -0.03 (139)  -0.03 (100) |  0.12 ( 66)  -0.16 ( 73) |  0.19 ( 50)   0.14 ( 50)  -0.19 (100) |
BERTENS Huub - BAKKEREN Ton                            |  240   0.52 |  0.30   0.21 |  0.21 (121)   0.21 (119) |  0.11 ( 57)   0.30 ( 64) |  0.11 ( 66)  -0.37 ( 53)   0.32 (119) |
BRINK Sjoert - DRIJVER Bas                             |  240   0.51 |  0.39   0.12 |  0.03 (121)   0.22 (117) | -0.25 ( 56)   0.26 ( 65) | -0.01 ( 47)  -0.04 ( 70)   0.25 (117) |
JONSSON Thorlakur - BALDURSSON Jon                     |  220   0.50 |  0.12   0.38 |  0.38 (120)   0.38 ( 98) |  0.35 ( 54)   0.41 ( 66) |  0.36 ( 50)   0.13 ( 48)   0.13 ( 98) |
BILDE Morten - HANSEN Jorgen                           |  240   0.41 |  0.38   0.03 | -0.18 (122)   0.25 (117) |  0.12 ( 55)  -0.43 ( 67) |  0.29 ( 57)  -0.07 ( 60)   0.15 (117) |
ASSAEL Salvador - ATABEY Yalcin                        |  260   0.40 |  0.16   0.24 |  0.31 (122)   0.18 (138) |  0.03 ( 60)   0.57 ( 62) | -0.07 ( 65)   0.05 ( 73)   0.19 (138) |
VOLHEJN Vit - KOPECKY Michal                           |  240   0.39 |  0.32   0.06 | -0.13 (125)   0.28 (115) | -0.66 ( 62)   0.38 ( 63) | -0.04 ( 58)  -0.14 ( 57)   0.37 (115) |
GINOSSAR Eldad - PACHTMAN Ron                          |  300   0.34 |  0.30   0.04 |  0.03 (151)   0.05 (148) |  0.13 ( 90)  -0.12 ( 61) | -0.13 ( 61)   0.07 ( 87)   0.07 (148) |
