                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No.   IMPs |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
ZIMMERMANN Pierre - MULTON Franck                      |  220   0.04 |  0.20  -0.16 |  0.02 (113)  -0.36 (105) | -0.17 ( 57)   0.21 ( 56) |  0.39 ( 47)  -0.29 ( 58)  -0.37 (105) |
GOODMAN Peter - THOMAS Adrian                          |  200   0.03 |  0.28  -0.25 |  0.29 ( 96)  -0.75 (104) |  0.28 ( 54)   0.31 ( 42) | -0.53 ( 54)  -0.35 ( 50)  -0.30 (104) |
KHOKHLOV Jouri - MATUSHKO Georgi                       |  280   0.01 | -0.43   0.44 |  0.47 (163)   0.42 (117) |  0.62 ( 70)   0.35 ( 93) |  0.04 ( 62)   0.24 ( 55)   0.29 (117) |
BOCKEN Patrick - RENARD Claude                         |  240  -0.00 |  0.20  -0.20 | -0.09 (104)  -0.29 (135) |  0.45 ( 44)  -0.49 ( 60) | -0.14 ( 74)  -0.38 ( 61)  -0.04 (135) |
JAGNIEWSKI Rafal - KWIECIEN Michal                     |  220  -0.01 |  0.22  -0.23 | -0.41 (108)  -0.06 (111) | -0.57 ( 56)  -0.25 ( 52) | -0.08 ( 56)   0.19 ( 55)  -0.11 (111) |
GHIGHECI Ovidiu - BRICIU Marius                        |  200  -0.02 | -0.18   0.17 |  0.10 (110)   0.25 ( 89) | -0.14 ( 53)   0.33 ( 57) | -0.13 ( 53)   0.19 ( 36)   0.25 ( 89) |
HEGEDUS Gal - HONTI Laszlo                             |  260  -0.03 | -0.13   0.10 |  0.30 (137)  -0.13 (122) | -0.15 ( 67)   0.74 ( 70) | -0.11 ( 69)  -0.04 ( 53)  -0.05 (122) |
WERNLE Sascha - SIMON Josef                            |  260  -0.04 | -0.08   0.04 |  0.08 (137)  -0.02 (123) |  0.28 ( 58)  -0.06 ( 79) | -0.01 ( 63)   0.02 ( 60)  -0.02 (123) |
ISPORSKI Vladislav Nikolov - KOVACHEV Valentin         |  220  -0.05 | -0.10   0.05 | -0.14 (115)   0.25 (105) |  0.07 ( 55)  -0.32 ( 60) |  0.06 ( 58)   0.07 ( 47)   0.19 (105) |
FISCHER Doris - SAURER Bernd                           |  260  -0.07 | -0.15   0.08 | -0.04 (130)   0.20 (129) | -0.59 ( 62)   0.46 ( 68) |  0.07 ( 62)   0.03 ( 67)   0.15 (129) |
ZHURAVEL Valentin - ARLOVICH Andrei                    |  320  -0.15 | -0.34   0.18 |  0.04 (150)   0.31 (168) | -0.28 ( 82)   0.42 ( 68) | -0.02 ( 75)   0.05 ( 93)   0.29 (168) |
ZUCCHINI Piergiovanni - FAZZARDI Gianfranco            |  240  -0.18 | -0.25   0.07 |  0.15 (107)  -0.00 (133) |  0.90 ( 58)  -0.73 ( 49) |  0.13 ( 75)   0.15 ( 58)  -0.14 (133) |
KURBALIJA Filip - REES Tim                             |  280  -0.19 | -0.09  -0.10 | -0.34 (133)   0.12 (146) | -0.33 ( 73)  -0.34 ( 60) |  0.19 ( 80)  -0.06 ( 66)   0.05 (146) |
LUKS Leo - NABER Lauri                                 |  240  -0.21 | -0.16  -0.05 | -0.16 (113)   0.06 (127) | -0.07 ( 60)  -0.27 ( 53) |  0.02 ( 59)   0.10 ( 68)  -0.00 (127) |
