Players;Count;Butler;Bid;Play;Decl;#;Def;#;Decl1;#;Decl2;#;Lead1;#;Lead2;#;Play;#
KHOLOMEEV Vadim - KHYUPPENEN Yury;200;1,01;0,72;0,30;0,37;98;  0,23;102;-0,18;57;1,13;41;0,12;48;-0,12;54;0,24;102;
ZHUKOV Alexander - TSIMAKHOVICH Aleh;100;1,01;0,81;0,20;0,38;55;  -0,01;45;0,14;20;0,52;35;0,60;25;0,59;20;-0,60;45;
WRANG Frederic - NILSSON Ulf;240;1,00;0,55;0,46;0,50;113;  0,42;126;0,76;51;0,29;62;0,30;71;0,06;55;0,22;126;
PIEKAREK Josef - SMIRNOV Alexander;260;0,80;0,47;0,34;0,28;128;  0,40;130;0,16;71;0,43;57;0,01;60;0,48;70;0,14;130;
AA Terje - MOLBERG Jorgen;240;0,73;0,59;0,14;0,08;125;  0,20;114;0,13;63;0,02;62;0,11;52;0,27;62;0,01;114;
DUBININ Alexander - GROMOV Andrey;240;0,71;0,35;0,36;0,49;111;  0,25;127;0,73;47;0,32;64;-0,21;59;0,27;68;0,21;127;
HRISTOV Hristo - STOYANOV Alexandar;240;0,68;0,69;-0,01;0,12;124;  -0,16;115;0,39;62;-0,15;62;-0,06;52;0,15;63;-0,21;115;
DANAILOV Diyan - KARAKOLEV Georgi;260;0,67;0,40;0,27;0,17;147;  0,40;112;-0,01;77;0,38;70;-0,19;60;0,18;52;0,42;112;
BERTHEAU Peter - NYSTROM Fredrik;240;0,67;0,27;0,39;0,31;122;  0,49;117;0,22;62;0,39;60;0,01;60;-0,17;57;0,56;117;
UPMARK Johan - CULLIN Per-Ola;240;0,61;0,44;0,17;0,39;111;  -0,02;129;0,31;46;0,44;65;-0,17;71;-0,24;58;0,18;129;
GROMOELLER Michael - KIRMSE Andreas;280;0,51;0,50;0,01;0,02;128;  -0,00;152;-0,36;63;0,38;65;-0,20;78;-0,06;74;0,13;152;
HELGEMO Geir - LUND Boerre;240;0,48;0,11;0,38;0,30;121;  0,46;119;0,59;59;0,01;62;0,32;66;-0,27;53;0,40;119;
LINDQVIST Espen - BROGELAND Boye;240;0,38;0,12;0,25;0,23;123;  0,27;117;0,21;64;0,25;59;-0,03;60;-0,10;57;0,34;117;
BOMPIS Marc - QUANTIN Jean-Christophe;280;0,34;0,26;0,08;0,07;134;  0,10;144;0,19;63;-0,05;71;-0,12;76;0,01;68;0,16;144;
ZAWISLAK Slawek - PAZUR Boguslaw;240;0,33;0,06;0,27;0,24;118;  0,29;122;0,03;58;0,44;60;-0,12;57;-0,03;65;0,36;122;
GIERULSKI Boguslaw - SKRZYPCZAK Jerzy;260;0,31;0,11;0,21;0,52;140;  -0,16;120;0,67;78;0,33;62;-0,29;61;0,21;59;-0,12;120;
VELECKY Eduard - FILIP Anatol;360;0,31;0,12;0,19;0,06;158;  0,30;198;0,17;74;-0,04;84;0,03;98;0,01;100;0,28;198;
LEVY Alain - MOUIEL Herve;220;0,29;-0,04;0,33;0,23;122;  0,46;98;0,01;63;0,46;59;0,11;53;0,29;45;0,28;98;
LEVENKO Vassili - SESTER Sven;220;0,25;0,12;0,13;0,35;91;  -0,02;129;0,36;38;0,35;53;-0,29;71;-0,05;58;0,16;129;
CRUZEIRO Jorge - SANTOS Jorge Monteiro Dos;200;0,22;0,05;0,17;0,32;95;  0,04;104;-0,12;43;0,68;52;0,10;47;-0,14;57;0,07;104;
BARBOSA Juliano - PINTO Rui;260;0,16;-0,08;0,24;0,29;126;  0,20;133;0,73;57;-0,07;69;0,30;69;0,06;64;0,01;133;
FUCIK Jan - PURKARTHOFER Gunther;200;0,15;0,13;0,02;-0,04;92;  0,08;107;0,06;52;-0,18;40;0,05;68;0,03;39;0,04;107;
FITZGIBBON Nicholas - MESBUR Adam;200;0,10;0,27;-0,17;-0,76;90;  0,31;110;-0,95;40;-0,61;50;0,13;53;0,23;57;0,13;110;
KARPOV Maksim - LAANEMAE Tiit;260;0,09;0,04;0,06;0,15;137;  -0,04;121;-0,02;71;0,32;66;-0,10;65;-0,01;56;0,01;121;
GOODMAN Peter - THOMAS Adrian;200;0,09;0,36;-0,27;0,33;96;  -0,83;104;0,35;54;0,32;42;-0,58;54;-0,41;50;-0,34;104;
CASTANHEIRA Jorge Carlos - PESSOA Sofia;260;0,07;0,03;0,04;-0,25;131;  0,33;129;-0,24;67;-0,25;64;0,14;50;0,28;79;0,10;129;
CARROLL John - GARVEY Tommy;260;0,07;0,17;-0,10;-0,11;121;  -0,09;138;-0,24;53;-0,00;68;0,39;63;0,21;75;-0,38;138;
WLADOW Entscho - ELINESCU Michael;180;0,06;-0,05;0,11;0,01;101;  0,24;78;0,30;69;-0,62;32;0,36;27;-0,27;51;0,29;78;
