                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No. Butler |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
J Gackowski - M Arutiunianc                            |  108   1.20 |  0.89   0.31 |  0.26 ( 48)   0.36 ( 60) |  0.09 ( 20)   0.38 ( 28) |  0.01 ( 28)   0.22 ( 32)   0.24 ( 60) |
C Balicki - M Klukowski                                |  120   1.13 |  0.64   0.48 |  0.36 ( 66)   0.63 ( 54) |  0.19 ( 34)   0.54 ( 32) |  0.11 ( 32)   0.14 ( 22)   0.51 ( 54) |
K Buras - P Tuczyński                                  |  119   0.84 |  0.86  -0.02 | -0.68 ( 52)   0.49 ( 67) | -0.47 ( 26)  -0.89 ( 26) |  0.38 ( 30)   0.22 ( 37)   0.21 ( 67) |
D Kowalski - P Bizoń                                   |  252   0.69 |  0.52   0.17 |  0.76 (131)  -0.47 (120) |  0.86 ( 53)   0.69 ( 78) | -0.20 ( 67)   0.15 ( 53)  -0.43 (120) |
D Filipowicz - K Martens                               |  275   0.67 |  0.25   0.42 |  0.55 (138)   0.29 (137) |  0.76 ( 76)   0.29 ( 62) |  0.38 ( 42)   0.15 ( 95)   0.07 (137) |
K Pikus - L Sztyrak                                    |  144   0.47 |  0.25   0.22 | -0.07 ( 69)   0.50 ( 74) | -0.10 ( 39)  -0.02 ( 30) |  0.14 ( 39)   0.27 ( 35)   0.30 ( 74) |
J Pszczoła - M Kwiecień                                |  144   0.43 |  0.14   0.29 |  0.55 ( 83)  -0.05 ( 61) |  0.15 ( 44)   1.00 ( 39) |  0.10 ( 27)   0.03 ( 34)  -0.11 ( 61) |
R Jagniewski - W Gaweł                                 |  300   0.41 |  0.17   0.24 |  0.48 (156)  -0.02 (143) |  0.46 ( 69)   0.49 ( 87) |  0.56 ( 62)  -0.13 ( 81)  -0.19 (143) |
J Śmieszek - A Wujków                                  |  132   0.33 |  0.15   0.18 |  0.45 ( 66)  -0.09 ( 65) |  0.65 ( 46)  -0.02 ( 20) | -0.26 ( 44)  -0.16 ( 21)   0.14 ( 65) |
A Guła - M Taczewski                                   |  240   0.31 |  0.37  -0.06 |  0.07 (126)  -0.20 (113) |  0.24 ( 82)  -0.25 ( 44) |  0.12 ( 62)  -0.07 ( 51)  -0.24 (113) |
W Kaźmierczak - J Ostrowski                            |  192   0.30 |  0.19   0.10 |  0.03 ( 87)   0.17 (104) |  0.13 ( 42)  -0.07 ( 45) |  0.04 ( 54)   0.14 ( 50)   0.08 (104) |
R Woliński - M Urbański                                |  108   0.29 |  0.16   0.13 |  0.05 ( 46)   0.19 ( 61) |  0.13 ( 28)  -0.08 ( 18) |  0.06 ( 32)  -0.26 ( 29)   0.29 ( 61) |
J Cieślak - J Moszyński                                |  108   0.27 |  0.13   0.14 |  0.18 ( 55)   0.10 ( 52) |  0.55 ( 22)  -0.07 ( 33) | -0.27 ( 26)   0.11 ( 26)   0.18 ( 52) |
W Starkowski - P Gawryś                                |  324   0.20 |  0.02   0.18 |  0.34 (174)  -0.01 (147) | -0.03 ( 77)   0.63 ( 97) | -0.26 ( 64)   0.14 ( 83)   0.03 (147) |
S Zawiślak - E Miszewska                               |  192   0.18 |  0.40  -0.22 | -0.03 (105)  -0.45 ( 86) |  0.24 ( 51)  -0.28 ( 54) | -0.80 ( 37)  -0.20 ( 49)   0.01 ( 86) |
C Komajda - J Kotorowicz                               |  276   0.18 |  0.22  -0.04 |  0.07 (139)  -0.15 (137) | -0.62 ( 73)   0.83 ( 66) | -0.05 ( 66)  -0.08 ( 71)  -0.09 (137) |
J Kalita - M Nowosadzki                                |  276   0.18 |  0.07   0.12 |  0.26 (139)  -0.03 (135) | -0.01 ( 78)   0.60 ( 61) |  0.33 ( 66)  -0.09 ( 69)  -0.15 (135) |
A Jeleniewski - J Wachnowski                           |  216   0.15 | -0.20   0.35 |  0.47 (110)   0.23 (104) |  0.97 ( 65)  -0.26 ( 45) |  0.26 ( 43)   0.15 ( 61)   0.03 (104) |
P Nawrocki - P Wiankowski                              |  180   0.13 |  0.29  -0.16 | -0.41 ( 92)   0.11 ( 88) | -1.25 ( 32)   0.04 ( 60) |  0.09 ( 65)   0.30 ( 23)  -0.04 ( 88) |
L Ohrysko - M Jeleniewski                              |  276   0.12 |  0.06   0.06 |  0.55 (131)  -0.38 (143) |  0.77 ( 69)   0.31 ( 62) | -0.37 ( 70)   0.00 ( 73)  -0.20 (143) |
S Kowalczyk - J Sucharkiewicz                          |  228   0.09 | -0.21   0.30 |  0.04 (110)   0.55 (117) | -0.30 ( 54)   0.36 ( 56) |  0.37 ( 59)   0.58 ( 58)   0.07 (117) |
J Makaruk - P Niedzielski                              |  180   0.05 | -0.09   0.14 |  0.06 ( 85)   0.21 ( 95) | -0.01 ( 54)   0.19 ( 31) |  0.32 ( 59)   0.29 ( 36)  -0.09 ( 95) |
K Pikus - M Cichocki                                   |  192   0.03 | -0.02   0.05 | -0.15 (106)   0.29 ( 86) |  0.08 ( 55)  -0.39 ( 51) |  0.44 ( 41)  -0.19 ( 45)   0.18 ( 86) |
P Żak - J Zaremba                                      |  156   0.03 | -0.19   0.22 |  0.32 ( 86)   0.10 ( 70) |  0.38 ( 35)   0.28 ( 51) |  0.52 ( 29)   0.05 ( 41)  -0.15 ( 70) |
K Jassem - M Mazurkiewicz                              |  203   0.02 |  0.17  -0.14 |  0.13 (102)  -0.42 (100) | -0.12 ( 49)   0.36 ( 53) | -0.23 ( 16)  -0.42 ( 84)  -0.03 (100) |
T Wiśniewski - I Kowalczyk                             |  288  -0.01 |  0.06  -0.07 |  0.04 (139)  -0.18 (147) |  0.31 ( 75)  -0.28 ( 64) | -0.10 ( 67)   0.12 ( 80)  -0.20 (147) |
S Gołębiowski - A Żmudziński                           |  168  -0.02 | -0.35   0.33 |  0.14 ( 76)   0.49 ( 92) |  0.22 ( 56)  -0.10 ( 20) |  0.15 ( 39)  -0.04 ( 53)   0.45 ( 92) |
R Nowicki - R Stoliński                                |  240  -0.03 |  0.07  -0.10 | -0.06 (128)  -0.16 (110) |  0.22 ( 52)  -0.25 ( 76) |  0.01 ( 82)  -0.19 ( 28)  -0.11 (110) |
