                                                       |             |              |           Play           |        Declaring         |                Defending              |
Players                                                |  No.   IMPs |   Bid   Play |   Declaring    Defending |   Declarer1    Declarer2 |       Lead1        Lead2         Play |
C Balicki - M Klukowski                                |  120   0.99 |  0.57   0.42 |  0.36 ( 66)   0.49 ( 54) |  0.21 ( 34)   0.51 ( 32) |  0.09 ( 32)   0.13 ( 22)   0.39 ( 54) |
J Gackowski - M Arutiunianc                            |  108   0.98 |  0.71   0.27 |  0.21 ( 48)   0.31 ( 60) |  0.08 ( 20)   0.30 ( 28) |  0.02 ( 28)   0.19 ( 32)   0.20 ( 60) |
K Buras - P Tuczyński                                  |  119   0.89 |  0.88   0.01 | -0.57 ( 52)   0.47 ( 67) | -0.43 ( 26)  -0.71 ( 26) |  0.29 ( 30)   0.20 ( 37)   0.23 ( 67) |
D Filipowicz - K Martens                               |  275   0.60 |  0.18   0.42 |  0.54 (138)   0.31 (137) |  0.70 ( 76)   0.34 ( 62) |  0.35 ( 42)   0.13 ( 95)   0.11 (137) |
D Kowalski - P Bizoń                                   |  252   0.58 |  0.45   0.14 |  0.67 (131)  -0.44 (120) |  0.73 ( 53)   0.62 ( 78) | -0.21 ( 67)   0.15 ( 53)  -0.39 (120) |
K Pikus - L Sztyrak                                    |  144   0.41 |  0.19   0.23 | -0.05 ( 69)   0.49 ( 74) | -0.07 ( 39)  -0.02 ( 30) |  0.12 ( 39)   0.24 ( 35)   0.31 ( 74) |
R Jagniewski - W Gaweł                                 |  300   0.36 |  0.14   0.22 |  0.41 (156)   0.02 (143) |  0.38 ( 69)   0.44 ( 87) |  0.49 ( 62)  -0.10 ( 81)  -0.14 (143) |
J Śmieszek - A Wujków                                  |  132   0.35 |  0.15   0.20 |  0.47 ( 66)  -0.08 ( 65) |  0.66 ( 46)   0.05 ( 20) | -0.24 ( 44)  -0.11 ( 21)   0.12 ( 65) |
J Pszczoła - M Kwiecień                                |  144   0.32 |  0.03   0.29 |  0.53 ( 83)  -0.05 ( 61) |  0.16 ( 44)   0.95 ( 39) |  0.07 ( 27)   0.01 ( 34)  -0.08 ( 61) |
W Kaźmierczak - J Ostrowski                            |  192   0.27 |  0.16   0.11 |  0.05 ( 87)   0.16 (104) |  0.08 ( 42)   0.02 ( 45) |  0.02 ( 54)   0.11 ( 50)   0.10 (104) |
J Kalita - M Nowosadzki                                |  276   0.22 |  0.09   0.13 |  0.23 (139)   0.04 (135) | -0.01 ( 78)   0.53 ( 61) |  0.31 ( 66)  -0.08 ( 69)  -0.08 (135) |
A Guła - M Taczewski                                   |  240   0.21 |  0.28  -0.07 |  0.07 (126)  -0.22 (113) |  0.24 ( 82)  -0.25 ( 44) |  0.11 ( 62)  -0.09 ( 51)  -0.24 (113) |
